model,class,precision,recall,f1-score,support
Random_Forest,B,0.9958376690946931,0.9989561586638831,0.9973944762897342,958
Random_Forest,IR,1.0,0.9989561586638831,0.9994778067885117,958
Random_Forest,N,1.0,1.0,1.0,137
Random_Forest,OR,0.9989545216936748,0.997911227154047,0.9984326018808778,1915
Random_Forest,macro avg,0.998698047697092,0.9989558861204533,0.9988262212397809,3968
Gradient_Boosting,B,1.0,1.0,1.0,958
Gradient_Boosting,IR,1.0,1.0,1.0,958
Gradient_Boosting,N,1.0,0.9927007299270073,0.9963369963369962,137
Gradient_Boosting,OR,0.9994780793319415,1.0,0.9997389715478987,1915
Gradient_Boosting,macro avg,0.9998695198329854,0.9981751824817519,0.9990189919712238,3968
SVM_RBF,B,0.9620512820512821,0.9791231732776617,0.9705121572684945,958
SVM_RBF,IR,0.9967602591792657,0.9634655532359081,0.9798301486199575,958
SVM_RBF,N,1.0,1.0,1.0,137
SVM_RBF,OR,0.9761658031088083,0.9838120104438642,0.9799739921976592,1915
SVM_RBF,macro avg,0.983744336084839,0.9816001842393586,0.9825790745215278,3968
Logistic_Regression,B,0.8333333333333334,0.8820459290187892,0.8569979716024341,958
Logistic_Regression,IR,0.7520775623268698,0.5668058455114823,0.6464285714285716,958
Logistic_Regression,N,1.0,1.0,1.0,137
Logistic_Regression,OR,0.7933174224343675,0.8678851174934726,0.828927680798005,1915
Logistic_Regression,macro avg,0.8446820795236427,0.829184223005936,0.8330885559572527,3968
Random_Forest_Optimized,B,0.9979166666666667,1.0,0.9989572471324296,958
Random_Forest_Optimized,IR,1.0,0.9989561586638831,0.9994778067885117,958
Random_Forest_Optimized,N,1.0,1.0,1.0,137
Random_Forest_Optimized,OR,0.9994775339602926,0.9989556135770234,0.9992165056150432,1915
Random_Forest_Optimized,macro avg,0.9993485501567398,0.9994779430602266,0.9994128898839961,3968
Gradient_Boosting_Optimized,B,1.0,1.0,1.0,958
Gradient_Boosting_Optimized,IR,1.0,1.0,1.0,958
Gradient_Boosting_Optimized,N,1.0,0.9927007299270073,0.9963369963369962,137
Gradient_Boosting_Optimized,OR,0.9994780793319415,1.0,0.9997389715478987,1915
Gradient_Boosting_Optimized,macro avg,0.9998695198329854,0.9981751824817519,0.9990189919712238,3968
